---------------------------------------------------------------------------------------------
-                                                                                           -
-  This is the Tag Index Allocation List, please avoid modding used tags.                   -
-                                                                                           -
-  Used tags are listed under a mod name (ie, [FlatGrass]) or under the name "Reserved:".   -
-                                                                                           -
-  If "Reserved:" that means that those tags are reserved for the mod that they are under.  -
-                                                                                           -
-  Any tags under "Open Tags:" are free for use, mod authors should include a copy of this  -
-  file that includes updated tags that they plan to use, this keeps mods compatible.       -
-                                                                                           -
-  The Offset can be used for Allocation Fixups, however please note that the Offsets are   -
-  only accurate when you build your mod on clean un-modded 0.5.0.2 tags.                   -
-                                                                                           -
---------------------------------------------------------------------------------------------


Open Tags:

cfgt 0000577D [Offset = 0x7C8136C, Size = 0x68]
cfgt 0000577E [Offset = 0x7C814F0, Size = 0x68]
cfgt 0000577F [Offset = 0x7C81674, Size = 0x68]
cfgt 00005780 [Offset = 0x7C817F8, Size = 0x68]
cfgt 00005781 [Offset = 0x7C8197C, Size = 0x68]
cfgt 00005782 [Offset = 0x7C81B00, Size = 0x68]
cfgt 00005783 [Offset = 0x7C81C84, Size = 0x68]
cfgt 00005784 [Offset = 0x7C81E08, Size = 0x68]
cfgt 00005785 [Offset = 0x7C81F8C, Size = 0x68]
cfgt 00005786 [Offset = 0x7C82110, Size = 0x68]
cfgt 00005787 [Offset = 0x7C82294, Size = 0x68]
cfgt 00005788 [Offset = 0x7C82418, Size = 0x68]
cfgt 00005789 [Offset = 0x7C8259C, Size = 0x68]
cfgt 0000578A [Offset = 0x7C82720, Size = 0x68]
cfgt 0000578B [Offset = 0x7C828A4, Size = 0x68]
cfgt 0000578C [Offset = 0x7C82A28, Size = 0x68]
cfgt 0000578D [Offset = 0x7C82BAC, Size = 0x68]
cfgt 0000578E [Offset = 0x7C82D30, Size = 0x68]
cfgt 0000578F [Offset = 0x7C82EB4, Size = 0x68]
cfgt 00005790 [Offset = 0x7C83038, Size = 0x68]
cfgt 00005791 [Offset = 0x7C831BC, Size = 0x68]
cfgt 00005792 [Offset = 0x7C83340, Size = 0x68]
cfgt 00005793 [Offset = 0x7C834C4, Size = 0x68]
cfgt 00005794 [Offset = 0x7C83648, Size = 0x68]
cfgt 00005795 [Offset = 0x7C837CC, Size = 0x68]
cfgt 00005796 [Offset = 0x7C83950, Size = 0x68]
cfgt 00005797 [Offset = 0x7C83AD4, Size = 0x68]
cfgt 00005798 [Offset = 0x7C83C58, Size = 0x68]
cfgt 00005799 [Offset = 0x7C83DDC, Size = 0x68]
cfgt 0000579A [Offset = 0x7C83F60, Size = 0x68]
cfgt 0000579B [Offset = 0x7C840E4, Size = 0x68]
cfgt 0000579C [Offset = 0x7C84268, Size = 0x68]
cfgt 0000579D [Offset = 0x7C843EC, Size = 0x68]
cfgt 0000579E [Offset = 0x7C84570, Size = 0x68]
cfgt 0000579F [Offset = 0x7C846F4, Size = 0x68]
cfgt 000057A0 [Offset = 0x7C84878, Size = 0x68]
cfgt 000057A1 [Offset = 0x7C849FC, Size = 0x68]
cfgt 000057A2 [Offset = 0x7C84B80, Size = 0x68]
cfgt 000057A3 [Offset = 0x7C84D04, Size = 0x68]
cfgt 000057A4 [Offset = 0x7C84E88, Size = 0x68]
cfgt 000057A5 [Offset = 0x7C8500C, Size = 0x68]
cfgt 000057A6 [Offset = 0x7C85190, Size = 0x68]
cfgt 000057A7 [Offset = 0x7C85314, Size = 0x68]
cfgt 000057A8 [Offset = 0x7C85498, Size = 0x68]
cfgt 000057A9 [Offset = 0x7C8561C, Size = 0x68]
cfgt 000057AA [Offset = 0x7C857A0, Size = 0x68]
cfgt 000057AB [Offset = 0x7C85924, Size = 0x68]
cfgt 000057AC [Offset = 0x7C85AA8, Size = 0x68]
cfgt 000057AD [Offset = 0x7C85C2C, Size = 0x68]
cfgt 000057AE [Offset = 0x7C85DB0, Size = 0x68]
cfgt 000057AF [Offset = 0x7C85F34, Size = 0x68]
cfgt 000057B0 [Offset = 0x7C860B8, Size = 0x68]
cfgt 000057B1 [Offset = 0x7C8623C, Size = 0x68]
cfgt 000057B2 [Offset = 0x7C863C0, Size = 0x68]
cfgt 000057B3 [Offset = 0x7C86544, Size = 0x68]
cfgt 000057B4 [Offset = 0x7C866C8, Size = 0x68]
cfgt 000057B5 [Offset = 0x7C8684C, Size = 0x68]
cfgt 000057B6 [Offset = 0x7C869D0, Size = 0x68]
